community,omnivorous,vegetarian
0,320,440
1,371,584
2,185,302
3,485,822
4,548,922
5,558,866
6,158,256
7,309,485
8,161,280
9,109,138
10,254,347
11,385,541
12,391,676
13,624,1233
14,105,162
15,396,654
16,47,71
17,94,186
18,32,51
19,41,60
20,31,42
21,175,268
22,103,213
23,56,131
24,71,107
25,56,85
26,100,149
27,87,157
28,190,300
29,61,119
30,80,113
31,72,168
32,23,48
33,61,96
34,62,92
