community,savory,sweet
0,682,78
1,839,116
2,429,58
3,1138,169
4,1316,154
5,1271,153
6,356,58
7,724,70
8,397,44
9,232,15
10,554,47
11,828,98
12,940,127
13,1675,182
14,240,27
15,945,105
16,103,15
17,239,41
18,79,4
19,85,16
20,61,12
21,389,54
22,285,31
23,164,23
24,157,21
25,124,17
26,222,27
27,219,25
28,453,37
29,146,34
30,177,16
31,212,28
32,60,11
33,141,16
34,137,17
