community,0.0,1.0,African,American,Argentine,Asian,Australian,Austrian,Belgian,Brazilian,British,Canadian,Caribbean,Chinese,Colombian,Cuban,Czech,Danish,Dutch,Ethiopian,Filipino,French,Georgian,German,Greek,Hawaiian,Hungarian,Indian,Iranian,Irish,Italian,Jamaican,Japanese,Jewish,Korean,Latin,Mexican,Middle,Norwegian,Peruvian,Polish,Portuguese,Romanian,Russian,Scandinavian,Scottish,Southeast,Spanish,Swedish,Swiss,Thai,Turkish,Ukrainian,Vietnamese,omnivorous,savory,sweet,vegetarian
24,27,151,0,87,0,0,0,0,0,0,6,0,0,37,0,0,0,0,0,0,0,16,0,1,0,1,0,3,0,0,5,0,2,0,0,0,9,4,1,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,71,157,21,107
25,17,124,0,69,0,0,1,0,0,0,1,0,0,35,0,0,0,0,1,0,0,10,0,1,1,0,0,1,0,0,5,0,3,1,1,0,4,1,0,1,0,0,0,2,0,0,0,0,1,0,0,1,0,1,56,124,17,85
26,53,196,0,146,0,0,0,0,0,0,5,0,0,51,1,0,0,0,1,0,0,15,0,1,2,0,0,1,1,1,7,0,4,0,1,0,5,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,100,222,27,149
27,40,204,0,119,1,0,0,0,0,0,4,0,1,47,0,0,0,0,0,0,1,28,0,1,2,0,0,3,0,0,16,0,4,0,3,0,2,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,87,219,25,157
28,87,403,1,256,0,2,0,0,1,0,7,0,1,102,0,0,0,0,0,0,0,48,0,3,5,2,0,2,0,0,22,0,5,0,4,0,14,12,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,190,453,37,300
29,18,162,1,101,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,20,1,2,0,3,0,1,0,1,6,0,2,1,1,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,146,34,119
30,35,158,1,100,0,2,0,0,0,0,6,0,0,36,0,0,0,0,0,0,0,23,0,1,2,0,0,1,0,1,5,0,4,0,1,0,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,80,177,16,113
31,37,203,1,130,0,0,0,0,0,1,0,0,0,37,0,0,0,0,0,0,0,30,1,0,1,0,0,0,0,1,19,0,5,1,4,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,72,212,28,168
32,9,62,0,34,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,5,0,1,1,0,0,1,0,0,4,0,4,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,23,60,11,48
33,23,134,0,78,0,0,0,0,0,0,1,0,0,35,0,0,0,0,0,0,0,12,0,2,0,0,0,1,0,0,5,0,8,0,1,0,6,5,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,61,141,16,96
34,27,127,0,72,0,0,1,0,0,0,1,0,0,29,0,0,0,0,0,0,1,20,0,0,4,0,0,0,0,0,12,0,2,0,2,0,5,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,62,137,17,92
