community,Homemade,I Ate
0,586,174
1,765,190
2,399,88
3,1105,202
4,1180,290
5,1209,215
6,335,79
7,642,152
8,349,92
9,199,48
10,479,122
11,747,179
12,862,205
13,1372,485
14,210,57
15,842,208
16,98,20
17,231,49
18,77,6
19,77,24
20,54,19
21,364,79
22,253,63
23,149,38
24,151,27
25,124,17
26,196,53
27,204,40
28,403,87
29,162,18
30,158,35
31,203,37
32,62,9
33,134,23
34,127,27
